Area_Type,Area_Name,Borough,Month,Median_Rent
city,All NYC,All Boroughs,2018-12,
city,All NYC,All Boroughs,2019-01,2695
city,All NYC,All Boroughs,2019-02,2700
city,All NYC,All Boroughs,2019-03,2700
city,All NYC,All Boroughs,2019-04,2800
city,All NYC,All Boroughs,2019-05,2850
city,All NYC,All Boroughs,2019-06,2900
city,All NYC,All Boroughs,2019-07,2950
city,All NYC,All Boroughs,2019-08,2950
city,All NYC,All Boroughs,2019-09,2925
city,All NYC,All Boroughs,2019-10,2900
city,All NYC,All Boroughs,2019-11,2899
city,All NYC,All Boroughs,2019-12,2895
city,All NYC,All Boroughs,2020-01,2900
city,All NYC,All Boroughs,2020-02,2900
city,All NYC,All Boroughs,2020-03,2925
city,All NYC,All Boroughs,2020-04,2995
city,All NYC,All Boroughs,2020-05,2950
city,All NYC,All Boroughs,2020-06,2895
city,All NYC,All Boroughs,2020-07,2828
city,All NYC,All Boroughs,2020-08,2750
city,All NYC,All Boroughs,2020-09,2667
borough,All Bronx,Bronx,2019-01,1895
borough,All Bronx,Bronx,2019-02,1850
borough,All Bronx,Bronx,2019-03,1875
borough,All Bronx,Bronx,2019-04,1875
borough,All Bronx,Bronx,2019-05,1895
borough,All Bronx,Bronx,2019-06,1900
borough,All Bronx,Bronx,2019-07,1900
borough,All Bronx,Bronx,2019-08,1950
borough,All Bronx,Bronx,2019-09,1999
borough,All Bronx,Bronx,2019-10,1965
borough,All Bronx,Bronx,2019-11,1930
borough,All Bronx,Bronx,2019-12,1925
borough,All Bronx,Bronx,2020-01,1950
borough,All Bronx,Bronx,2020-02,1950
borough,All Bronx,Bronx,2020-03,1979
borough,All Bronx,Bronx,2020-04,2000
borough,All Bronx,Bronx,2020-05,1969
borough,All Bronx,Bronx,2020-06,1990
borough,All Bronx,Bronx,2020-07,2000
borough,All Bronx,Bronx,2020-08,1990
borough,All Bronx,Bronx,2020-09,1995
borough,All Brooklyn,Brooklyn,2019-01,2500
borough,All Brooklyn,Brooklyn,2019-02,2500
borough,All Brooklyn,Brooklyn,2019-03,2500
